candidate_path,file_type,n_rows_if_readable,n_columns_if_readable,id_column_found,score,reason,candidate_type,excluded,exclude_reason
/Users/zy/csbj/新高分思路/tables/table_structured_features_overview.csv,csv,0,0,,40,keyword:features; keyword:structured; read failed:No columns to parse from file,,True,read failed:No columns to parse from file
/Users/zy/csbj/新高分思路/tables/table_prepare_ptbxl_plus_status.csv,csv,1,3,,30,keyword:ptbxl_plus; ECG feature keywords:age; excluded: rows < 1000,,True,rows < 1000
/Users/zy/csbj/新高分思路/tables/table_structured_missingness.csv,csv,0,4,,30,keyword:structured; ECG feature keywords:rate; excluded: rows < 1000,,True,rows < 1000
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/ctgov_ae_observation.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/ctgov_arm_dictionary_expansion.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/ctgov_arm_dictionary_seed.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/ctgov_core_safety_expansion_seed.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/ctgov_core_safety_seed.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/ctgov_expansion_fetch_manifest.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/ctgov_full_module_core_safety_candidates.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/ctgov_full_module_safety_candidate_triage.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/ctgov_full_module_safety_outcome_candidates.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/ctgov_source_document_expansion.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/ctgov_source_document_seed.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/fda_core_safety_combined_seed.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/fda_core_safety_expansion_seed.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/fda_core_safety_seed.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/openfda_label_fetch_manifest.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/publication_core_safety_combined_seed.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/publication_core_safety_expansion_seed.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/publication_core_safety_seed.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/interim/pubmed_reference_lookup.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/ae_observation.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/aems_signal.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/approval_event.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/approval_event_expansion_candidates.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/arm_dictionary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/drug_master.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/drugsfda_adc_product_matches.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/fda_review_document_inventory.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/fda_review_table_locator.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/fda_review_table_locator_expansion.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/full_cohort_source_comparability_matrix.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/full_cohort_source_comparability_matrix_detail.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/label_history.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/project_file_inventory.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/publication_reference_inventory.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/publication_reference_inventory_expansion.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/publication_table_locator.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/publication_table_locator_expansion.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/source_comparability_matrix.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/source_document.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/trial_master.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/processed/trial_master_expansion_candidates.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/raw/drugs_fda/download_manifest.tsv,tsv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/raw/drugs_fda/review_documents/expansion_document_download_manifest.tsv,tsv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/raw/drugs_fda/review_documents/generated_pdf_download_manifest.tsv,tsv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/raw/drugs_fda/review_documents/p1_document_download_manifest.tsv,tsv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/raw/drugs_fda/review_documents/pilot_download_manifest.tsv,tsv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/data/raw/drugs_fda/review_documents/toc_review_pdf_download_manifest.tsv,tsv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/analysis_comparability_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/analysis_coverage_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/analysis_preferred_source_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/analysis_primary_numeric_discordance_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/analysis_ready_comparison_set.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/analysis_ready_comparison_set_confirmed.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/analysis_ready_comparison_summary_stats.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/analysis_ready_pair_confirmation_status.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/analysis_ready_source_auto_confirmation.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/analysis_ready_source_auto_confirmation_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/analysis_ready_source_confirmation_packet.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/analysis_ready_source_confirmation_packet_confirmed.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/analysis_trial_concordance_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/background_discussion_reference_list.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/batch1_ctgov_extraction_packet.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/batch1_fda_extraction_packet.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/batch1_publication_extraction_packet.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/comparability_upgrade_candidates.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/comparability_yield_by_safety_concept.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/comparability_yield_by_source_pair.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/comparability_yield_by_trial.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/comparability_yield_overall.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/confirmed_concordance_by_safety_concept.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/confirmed_concordance_by_source_pair.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/confirmed_concordance_by_trial.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/confirmed_concordance_overall_stats.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/confirmed_pair_structured_audit_packet.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/confirmed_source_appendix.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/core_safety_reporting_completeness_by_trial.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/core_safety_reporting_completeness_by_trial_source.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/count_rounding_concordance_classification.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/count_rounding_concordance_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/ctgov_expansion_availability.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/ctgov_expansion_status_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/ctgov_full_module_candidate_triage_by_concept.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/ctgov_full_module_candidate_triage_by_trial.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/ctgov_full_module_incremental_candidate_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/ctgov_full_module_manual_review_packet.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/ctgov_full_module_safety_outcome_candidate_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/ctgov_incremental_core_candidate_adjudication_packet.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/drug_safety_comparability_by_safety_concept_strata.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/drug_safety_comparability_by_source_pair_strata.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/drug_safety_comparability_criteria.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/drug_safety_noncomparability_reason_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/drug_safety_primary_outcome_ci.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/drug_safety_safety_concept_reporting_by_source.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/drug_safety_trial_level_comparability_distribution.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/drug_safety_trial_level_comparability_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/expansion_pub_ctgov_comparability_precheck.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/expansion_publication_seed_coverage.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/fda_core_safety_combined_seed_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/fda_core_safety_expansion_seed_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/fda_core_safety_extraction_candidates_expansion.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/fda_expansion_priority_document_queue.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/fda_review_locator_expansion_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/final_analysis_audit_index.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/five_state_source_reporting_status.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/five_state_source_reporting_status_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/full_cohort_analysis_readiness_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/full_cohort_expansion_source_status.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/full_cohort_extraction_priority_dashboard.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/full_cohort_extraction_readiness.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
/Users/zy/Documents/New project 3/adc_safety_lifecycle/tables/full_cohort_source_comparability_matrix_detail_summary.csv,csv,0,0,,0,excluded: unrelated path pattern: adc_safety_lifecycle,,True,unrelated path pattern: adc_safety_lifecycle
