subset_name,rank,feature_name
random_138_seed2026,74,QT_IntCorr_aVR_count
random_138_seed2026,75,QT_IntFramingham_Global_count
random_138_seed2026,76,QT_Int_Global_count
random_138_seed2026,77,QT_Int_II_iqr
random_138_seed2026,78,QT_Int_I_count
random_138_seed2026,79,QT_Int_V2_iqr
random_138_seed2026,80,QT_Int_V3_count
random_138_seed2026,81,QT_Int_aVF
random_138_seed2026,82,QT_Int_aVL_count
random_138_seed2026,83,QT_Int_aVR_iqr
random_138_seed2026,84,Q_Amp_I
random_138_seed2026,85,Q_Amp_III_count
random_138_seed2026,86,Q_Amp_III_iqr
random_138_seed2026,87,Q_Amp_II_iqr
random_138_seed2026,88,Q_Amp_I_count
random_138_seed2026,89,Q_Amp_V1
random_138_seed2026,90,Q_Amp_V2_iqr
random_138_seed2026,91,Q_Amp_V3_count
random_138_seed2026,92,Q_Amp_V3_iqr
random_138_seed2026,93,Q_Amp_V4_count
random_138_seed2026,94,Q_Amp_V5_iqr
random_138_seed2026,95,Q_Amp_V6
random_138_seed2026,96,Q_Amp_V6_iqr
random_138_seed2026,97,Q_Amp_aVF_iqr
random_138_seed2026,98,Q_Amp_aVR
random_138_seed2026,99,R_Amp_V1
random_138_seed2026,100,R_Amp_V3_count
random_138_seed2026,101,R_Amp_V5_count
random_138_seed2026,102,R_Amp_V6
random_138_seed2026,103,R_Amp_V6_count
random_138_seed2026,104,R_Amp_aVF_count
random_138_seed2026,105,R_Amp_aVF_iqr
random_138_seed2026,106,R_Amp_aVR_iqr
random_138_seed2026,107,ST_Elev_III_iqr
random_138_seed2026,108,ST_Elev_V1
random_138_seed2026,109,ST_Elev_V1_count
random_138_seed2026,110,ST_Elev_V2
random_138_seed2026,111,ST_Elev_V4_count
random_138_seed2026,112,ST_Elev_V5
random_138_seed2026,113,ST_Elev_V5_count
random_138_seed2026,114,ST_Elev_V5_iqr
random_138_seed2026,115,ST_Elev_aVL_iqr
random_138_seed2026,116,ST_Elev_aVR
random_138_seed2026,117,S_Amp_III
random_138_seed2026,118,S_Amp_III_iqr
random_138_seed2026,119,S_Amp_I_count
random_138_seed2026,120,S_Amp_V4
random_138_seed2026,121,S_Amp_V4_count
random_138_seed2026,122,S_Amp_V5_iqr
random_138_seed2026,123,S_Amp_V6_count
random_138_seed2026,124,S_Amp_V6_iqr
random_138_seed2026,125,T_Amp_I
random_138_seed2026,126,T_Amp_III_count
random_138_seed2026,127,T_Amp_III_iqr
random_138_seed2026,128,T_Amp_V2
random_138_seed2026,129,T_Amp_V3_count
random_138_seed2026,130,T_Amp_V4_count
random_138_seed2026,131,T_Amp_V5_count
random_138_seed2026,132,T_Amp_V5_iqr
random_138_seed2026,133,T_Amp_V6_iqr
random_138_seed2026,134,T_DurFull_V2_count
random_138_seed2026,135,T_DurFull_V3_iqr
random_138_seed2026,136,T_DurFull_V6_iqr
random_138_seed2026,137,T_DurFull_aVL
random_138_seed2026,138,T_Dur_Global_count
importance_138_internal_xai,1,R_Amp_V5
importance_138_internal_xai,2,QRS_Dur_II
importance_138_internal_xai,3,R_Amp_V6
importance_138_internal_xai,4,R_Amp_II
importance_138_internal_xai,5,R_Amp_aVL
importance_138_internal_xai,6,S_Amp_aVR
importance_138_internal_xai,7,P_Morph_V2_iqr
importance_138_internal_xai,8,R_Amp_I
importance_138_internal_xai,9,T_Amp_aVR
importance_138_internal_xai,10,T_Amp_V4_iqr
importance_138_internal_xai,11,T_Amp_V2
importance_138_internal_xai,12,S_Amp_V5
importance_138_internal_xai,13,R_Amp_V4
importance_138_internal_xai,14,Q_Amp_V3
importance_138_internal_xai,15,PQ_Int_V1
importance_138_internal_xai,16,P_Amp_aVL_iqr
importance_138_internal_xai,17,P_Amp_II
importance_138_internal_xai,18,QRS_Dur_V1
importance_138_internal_xai,19,R_Amp_V1
importance_138_internal_xai,20,R_Amp_III
importance_138_internal_xai,21,Q_Amp_aVF
importance_138_internal_xai,22,S_Amp_V4_iqr
importance_138_internal_xai,23,R_Amp_aVL_iqr
importance_138_internal_xai,24,P_Amp_aVF
importance_138_internal_xai,25,P_Morph_V2
importance_138_internal_xai,26,P_Amp_III_iqr
importance_138_internal_xai,27,PQ_Int_aVL
importance_138_internal_xai,28,QRS_Dur_V4_iqr
importance_138_internal_xai,29,Q_Amp_V2
importance_138_internal_xai,30,R_Amp_aVR
importance_138_internal_xai,31,QRS_Dur_I
importance_138_internal_xai,32,QRS_Dur_V3_iqr
importance_138_internal_xai,33,S_Amp_III
importance_138_internal_xai,34,P_DurFull_V3_iqr
importance_138_internal_xai,35,Q_Amp_II
importance_138_internal_xai,36,PQ_Int_III
importance_138_internal_xai,37,S_Amp_V6
importance_138_internal_xai,38,QRS_Dur_Global_iqr
importance_138_internal_xai,39,QRS_Dur_III_iqr
importance_138_internal_xai,40,PR_Int_V1
importance_138_internal_xai,41,QT_IntCorr_V2
importance_138_internal_xai,42,QRS_Dur_I_iqr
importance_138_internal_xai,43,T_Amp_aVF_iqr
importance_138_internal_xai,44,PQ_Int_V2
importance_138_internal_xai,45,S_Amp_V2_iqr
importance_138_internal_xai,46,P_Amp_aVF_iqr
importance_138_internal_xai,47,P_Amp_II_iqr
importance_138_internal_xai,48,R_Amp_aVF
importance_138_internal_xai,49,QT_Int_V5_iqr
importance_138_internal_xai,50,P_Amp_V4_iqr
importance_138_internal_xai,51,T_DurFull_V2
importance_138_internal_xai,52,ST_Elev_V5_iqr
importance_138_internal_xai,53,S_Amp_V1
importance_138_internal_xai,54,PR_Int_V1_iqr
importance_138_internal_xai,55,P_Morph_III_iqr
importance_138_internal_xai,56,P_DurFull_I
importance_138_internal_xai,57,QRS_Dur_aVF
importance_138_internal_xai,58,T_DurFull_V5_iqr
importance_138_internal_xai,59,PQ_Int_aVF
importance_138_internal_xai,60,Q_Amp_V5
importance_138_internal_xai,61,ST_Elev_V1
importance_138_internal_xai,62,PQ_Int_II
importance_138_internal_xai,63,R_Amp_V2
importance_138_internal_xai,64,T_DurFull_aVL_iqr
importance_138_internal_xai,65,PR_Int_aVL
importance_138_internal_xai,66,T_DurFull_aVR
importance_138_internal_xai,67,T_DurFull_aVF
importance_138_internal_xai,68,Q_Amp_V1
importance_138_internal_xai,69,QT_Int_V2
importance_138_internal_xai,70,HA__Global
importance_138_internal_xai,71,S_Amp_aVF
importance_138_internal_xai,72,T_Amp_V4
importance_138_internal_xai,73,P_DurFull_III
importance_138_internal_xai,74,S_Amp_II
importance_138_internal_xai,75,QRS_Dur_aVR_iqr
importance_138_internal_xai,76,S_Amp_V2
importance_138_internal_xai,77,Q_Amp_V6
importance_138_internal_xai,78,T_Amp_aVF
importance_138_internal_xai,79,QT_IntCorr_V3
importance_138_internal_xai,80,T_DurFull_III
importance_138_internal_xai,81,P_Morph_aVL
importance_138_internal_xai,82,S_Amp_III_iqr
importance_138_internal_xai,83,T_Amp_I
importance_138_internal_xai,84,T_Amp_V3
importance_138_internal_xai,85,P_Amp_aVL
importance_138_internal_xai,86,QRS_Dur_V1_iqr
importance_138_internal_xai,87,T_Amp_V1
importance_138_internal_xai,88,T_Amp_V3_iqr
importance_138_internal_xai,89,QRS_Dur_III
importance_138_internal_xai,90,QRS_Dur_aVL
importance_138_internal_xai,91,Q_Amp_III_iqr
importance_138_internal_xai,92,P_DurFull_aVL_iqr
importance_138_internal_xai,93,P_Dur_Global
importance_138_internal_xai,94,Q_Amp_V3_iqr
importance_138_internal_xai,95,S_Amp_aVL_iqr
importance_138_internal_xai,96,S_Amp_II_iqr
importance_138_internal_xai,97,S_Amp_V3_iqr
importance_138_internal_xai,98,P_DurFull_V3
importance_138_internal_xai,99,P_Amp_V4
importance_138_internal_xai,100,P_Amp_III
importance_138_internal_xai,101,T_Amp_aVL_iqr
importance_138_internal_xai,102,R_Amp_V3
importance_138_internal_xai,103,T_DurFull_V2_iqr
importance_138_internal_xai,104,Q_Amp_III
importance_138_internal_xai,105,T_DurFull_V4_iqr
importance_138_internal_xai,106,P_Morph_aVL_iqr
importance_138_internal_xai,107,R_Amp_V4_iqr
importance_138_internal_xai,108,T_DurFull_I
importance_138_internal_xai,109,PQ_Int_aVR
importance_138_internal_xai,110,P_Amp_V3_iqr
importance_138_internal_xai,111,Q_Amp_aVF_iqr
importance_138_internal_xai,112,Q_Amp_aVL_iqr
importance_138_internal_xai,113,QT_IntCorr_aVR
importance_138_internal_xai,114,QT_Int_aVF
importance_138_internal_xai,115,QRS_Dur_V6_iqr
importance_138_internal_xai,116,T_Amp_V2_iqr
importance_138_internal_xai,117,QRS_Dur_V2
importance_138_internal_xai,118,Q_Amp_V2_iqr
importance_138_internal_xai,119,QT_IntCorr_V5_iqr
importance_138_internal_xai,120,T_DurFull_V4
importance_138_internal_xai,121,T_DurFull_V3
importance_138_internal_xai,122,T_DurFull_III_iqr
importance_138_internal_xai,123,T_DurFull_V1
importance_138_internal_xai,124,Q_Amp_aVL
importance_138_internal_xai,125,T_Amp_II
importance_138_internal_xai,126,P_DurFull_V4
importance_138_internal_xai,127,PQ_Int_I
importance_138_internal_xai,128,QT_IntCorr_V4
importance_138_internal_xai,129,ST_Elev_aVR
importance_138_internal_xai,130,QRS_Dur_V3
importance_138_internal_xai,131,S_Amp_V3
importance_138_internal_xai,132,ST_Elev_III_iqr
importance_138_internal_xai,133,T_DurFull_aVL
importance_138_internal_xai,134,P_DurFull_aVF
importance_138_internal_xai,135,QRS_Dur_aVF_iqr
importance_138_internal_xai,136,QT_IntCorr_aVF
importance_138_internal_xai,137,ST_Elev_V6
importance_138_internal_xai,138,QRS_Dur_Global
